R,G,B,x,y
0.76,0.82,0.08,257.6,357.08
0.52,0.62,0.07,252.24,429.73
0.63,0.25,0.07,92.89,222.16
0.87,0.76,0.09,248.82,306.08
0.15,0.49,0.78,373.5,244.44
0.1,0.7,0.73,417.13,350.68
0.12,0.7,0.85,402.92,291.16
0.28,0.8,0.34,330.76,313.47
0.67,0.84,0.12,289.06,309.99
0.76,0.42,0.28,296.04,220.18
0.86,0.32,0.11,256.29,215.96
0.7,0.16,0.07,103.22,126.63
0.3,0.19,0.05,16.76,329.13
0.84,0.76,0.1,268.31,286.38
0.1,0.51,0.79,506.58,305.85
0.48,0.84,0.2,308.2,314.79
0.73,0.62,0.09,154.49,393.22
0.13,0.68,0.75,368.97,274.54
0.4,0.13,0.62,387.39,131.96
0.84,0.32,0.1,179.47,205.33
0.19,0.14,0.63,410.29,181.27
0.22,0.12,0.58,417.29,157.18
0.84,0.33,0.09,195.28,220.94
0.55,0.84,0.11,292.85,336.84
0.49,0.16,0.63,343.27,164.83
0.83,0.79,0.1,267.55,296.74
0.12,0.46,0.86,444.19,256.72
0.15,0.25,0.75,431.88,212.33
0.14,0.37,0.82,431.82,237.06
0.09,0.56,0.8,485.72,325.09
0.78,0.81,0.09,244.11,371.93
0.7,0.67,0.24,299.21,249.98
0.14,0.35,0.78,394.76,231.86
0.26,0.12,0.6,443.33,129.63
0.43,0.16,0.05,38.69,210
0.89,0.73,0.11,223.22,308.81
0.82,0.14,0.24,278.24,178.24
0.27,0.68,0.55,339.26,265.83
0.86,0.24,0.1,252.17,205.46
0.09,0.46,0.73,531.17,306.08
0.53,0.15,0.63,337.8,153.58
0.14,0.72,0.67,361.5,287.32
0.21,0.74,0.56,345.93,284.22
0.64,0.49,0.4,311.28,227.36
0.81,0.38,0.1,166.7,236.38
0.14,0.43,0.83,484.18,248.38
0.86,0.77,0.08,238.59,326.49
0.33,0.82,0.21,316.45,346.01
0.85,0.25,0.08,201.41,196.22
0.69,0.16,0.62,304.77,119.96
0.87,0.6,0.11,215.93,281.9
0.87,0.15,0.08,224.87,170.28
0.31,0.51,0.64,343.36,237.48
0.61,0.23,0.53,319.65,192.72
0.51,0.84,0.17,303.39,319.38
0.84,0.64,0.13,275.19,251.44
0.13,0.54,0.86,473.71,275.11
0.73,0.59,0.25,297.22,239.07
0.13,0.4,0.8,394.76,239.03
0.87,0.1,0.15,221.62,119.56
0.09,0.63,0.79,445.95,335.82
0.8,0.77,0.12,277.52,281.69
0.43,0.15,0.64,369.99,146.52
0.25,0.15,0.64,392.79,177.56
0.02,0.09,0.26,626.47,292.29
0.89,0.25,0.12,171.6,148.5
0.88,0.76,0.1,230.71,318.18
0.12,0.77,0.67,376.05,330.35
0.87,0.59,0.12,208.26,280.6
0.29,0.13,0.61,452.82,113.18
0.09,0.03,0.12,385.05,-10.31
0.87,0.59,0.12,205.9,281.24
